street,R2,RMSE,MAE
ROOSEVELT AVENUE BRIDGE,0.10654406735517907,177.64048489731076,146.35205581719933
SEAGIRT BOULEVARD,0.1802579596607553,283.3626021054651,228.31149322014343
SEDGWICK AVENUE,0.23536682182967072,129.52894630638008,97.00220479855153
SMITH STREET,0.25517858798873083,120.19837222644611,97.70137783873992
SOUTH CONDUIT AVENUE,0.31471705904754166,618.0334403639819,490.27274478253395
SOUTHERN BLVD,0.2427840999559132,76.35186024007514,61.9072206913536
SOUTHERN BOULEVARD,0.09446017456375722,323.4349840838745,217.88596422597095
STATE STREET,0.31411448369465655,128.87612392416662,102.0622398396051
STEINWAY STREET,0.15445948007823262,95.94621606113627,79.9461483677234
SUNRISE HIGHWAY,0.3701190382444881,577.1525137358819,481.95215914246984
SURF AVENUE,0.21943573349672285,137.5840188654595,116.08204658908956
SUTTER AVENUE,0.3587221122628521,101.4385041755652,82.33994503317844
TODT HILL ROAD,0.21104866597190652,172.26434846955289,154.03741048838972
TOMPKINS AVENUE,0.3139512831557828,235.74674816283445,186.12648116954074
UNION TURNPIKE,0.1263520251019743,293.0857314395804,225.1279706892872
UTOPIA PARKWAY,0.15041226340607483,160.93570428178495,131.71458813577368
VAN CORTLANDT PARK EAST,0.24498031854225377,75.14759413127098,62.299353597030496
VERNON BOULEVARD,0.24228076798332288,115.00460882762479,97.05960880406808
VICTORY BOULEVARD,0.13749457828458722,312.4911406606893,228.41364773903865
WADSWORTH AVENUE,0.12657764371868807,69.7709585863151,41.11247437964315
WASHINGTON AVENUE,0.22647196035478678,151.7753716277135,115.12938090647839
WEBSTER AVENUE,0.18870967759660506,176.45968158837772,146.19983200000732
WEST 165 STREET,0.16410952361783981,237.56667781944185,176.56060273271788
WEST 42 STREET,0.27739147142203235,165.5755051169047,136.58799606289534
WEST END AVENUE,0.2859513563485825,151.8283516052155,124.24431383769843
WESTCHESTER AVENUE,0.23026059857395376,175.25301683288626,148.53431808121462
WESTCHESTER AVENUE BRIDGE,0.2799998053585816,219.23042042338938,177.118558980924
WHITE PLAINS ROAD,0.27483130694676594,107.59736584644551,90.07696150686789
WOODHAVEN BOULEVARD,0.09300610518494223,495.8293693946203,411.09366866668574
YORK AVENUE,0.1970562712047681,231.9217289740743,178.9553033303418
